index,abs_PDF,abs_Abstracts,rel_PDF,rel_Abstracts
commendable,3,0,4.683422495290038e-07,0.0
innovative,35,6,5.463992911171711e-06,5.278019687013432e-05
meticulous,3,0,4.683422495290038e-07,0.0
intricate,29,0,4.5273084121137034e-06,0.0
notable,83,1,1.2957468903635771e-05,8.796699478355722e-06
versatile,43,4,6.712905576582388e-06,3.5186797913422887e-05
noteworthy,38,0,5.932335160700715e-06,0.0
invaluable,9,0,1.4050267485870113e-06,0.0
pivotal,28,1,4.3711943289373685e-06,8.796699478355722e-06
potent,3711,111,0.0005793393626673777,0.0009764336420974851
fresh,91,1,1.420638156904645e-05,8.796699478355722e-06
ingenious,1,0,1.561140831763346e-07,0.0
meticulously,0,0,0.0,0.0
reportedly,1,0,1.561140831763346e-07,0.0
lucidly,0,0,0.0,0.0
innovatively,1,0,1.561140831763346e-07,0.0
aptly,0,0,0.0,0.0
methodically,2,0,3.122281663526692e-07,0.0
excellently,1,0,1.561140831763346e-07,0.0
compellingly,0,0,0.0,0.0
impressively,1,0,1.561140831763346e-07,0.0
undoubtedly,9,0,1.4050267485870113e-06,0.0
scholarly,210,8,3.278395746703027e-05,7.037359582684577e-05
strategically,3,0,4.683422495290038e-07,0.0
